,logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_name
ENSG00000258388,-0.0202011,1.043005054,-0.104337092,0.917113314,0.96212501,-5.837892961,PPT2-EGFL8
ENSG00000128891,-0.012390759,5.048558078,-0.103816129,0.917525936,0.962492995,-6.641364264,CCDC32
ENSG00000161958,-0.031687382,0.66869141,-0.10362491,0.917677297,0.962586884,-5.774983774,FGF11
ENSG00000154640,0.035708586,2.374676425,0.102781854,0.918344657,0.963185124,-6.124577057,BTG3
ENSG00000196233,-0.007500039,5.561159966,-0.102747698,0.918371421,0.963185124,-6.689076906,LCOR
ENSG00000113360,-0.013396133,5.147010115,-0.102535669,0.918539548,0.963190515,-6.644654345,DROSHA
ENSG00000163006,0.016866774,2.370647973,0.102465511,0.918595088,0.963190515,-6.133574607,CCDC138
ENSG00000031081,-0.017931346,2.787928448,-0.102411133,0.918638137,0.963190515,-6.184843228,ARHGAP31
ENSG00000115762,0.005912711,5.728621908,0.102298917,0.918726701,0.963190515,-6.694573657,PLEKHB2
ENSG00000138079,0.019287451,1.772359013,0.102294047,0.91873083,0.963190515,-6.011701803,SLC3A1
ENSG00000123901,0.013542849,1.902122908,0.10227208,0.918747948,0.963190515,-6.020637603,GPR83
ENSG00000188000,-0.012711204,2.125039427,-0.101798593,0.919122805,0.963513548,-6.078995964,OR7D2
ENSG00000185046,0.014888637,3.345937878,0.10152487,0.919339789,0.963513548,-6.359018869,ANKS1B
ENSG00000144306,0.010147254,5.244209975,0.101482719,0.919373162,0.963513548,-6.6623416,SCRN3
ENSG00000159640,0.024739354,1.085863076,0.101407545,0.91943268,0.963513548,-5.890108292,ACE
